run_id,success,backend,pattern,rate,offered_Bps,offered_GBps,achieved_Bps,achieved_GBps,read_Bps,write_Bps,avg_latency_ticks,avg_read_latency_ticks,avg_write_latency_ticks,bytes_read,bytes_written,total_reads,total_writes,num_packets,num_retries,retry_ticks,request_buffer_messages,request_buffer_avg_messages,request_buffer_occupancy,response_buffer_messages,response_buffer_avg_messages,sim_ticks,host_seconds,host_tick_rate,gem5_dram_avg_queue_latency,gem5_dram_avg_memory_latency,gem5_dram_bus_util,gem5_dram_peak_MiBps,dramsys_memory_type,dramsys_avg_bw_GBps,dramsys_max_bw_GBps,wall_seconds,exit_cause,run_dir
linear-read-gem5-1GiBps,True,gem5,linear-read,1GiB/s,1073741824.0,1.073741824,1068800000.0,1.0688,1068800000.0,0.0,51255.08982035928,51255.08982,nan,21376.0,0.0,334.0,0.0,335.0,0.0,0.0,335.0,0.005578,0.002789,334.0,0.006845,20000000.0,0.05,403217677.0,5113.36,23337.36,7.18,14925.0,,nan,nan,0.5045925110007374,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/chi-rni-ddr4-memory-sweep/runs/linear-read-gem5-1GiBps
linear-read-gem5-2GiBps,True,gem5,linear-read,2GiB/s,2147483648.0,2.147483648,2140800000.0,2.1408,2140800000.0,0.0,51807.65022421525,51807.650224,nan,42816.0,0.0,669.0,0.0,671.0,0.0,0.0,670.0,0.011155,0.005578,669.0,0.013702,20000000.0,0.05,370809849.0,5673.77,23897.77,14.37,14925.0,,nan,nan,0.5133955199999036,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/chi-rni-ddr4-memory-sweep/runs/linear-read-gem5-2GiBps
linear-read-gem5-4GiBps,True,gem5,linear-read,4GiB/s,4294967296.0,4.294967296,4249600000.0,4.2496,4249600000.0,0.0,54035.56551204819,54035.565512,nan,84992.0,0.0,1328.0,0.0,1332.0,4.0,192183.0,1331.0,0.022161,0.011081,1328.0,0.028623,20000000.0,0.06,327166250.0,7755.5,25979.5,28.54,14925.0,,nan,nan,0.5270456280013605,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/chi-rni-ddr4-memory-sweep/runs/linear-read-gem5-4GiBps
linear-read-gem5-8GiBps,True,gem5,linear-read,8GiB/s,8589934592.0,8.589934592,8374399999.999999,8.3744,8374399999.999999,0.0,65646.32174245319,65646.321742,nan,167488.0,0.0,2617.0,0.0,2625.0,20.0,500366.0,2624.0,0.04369,0.021845,2617.0,0.065314,20000000.0,0.08,260678024.0,19199.38,37423.38,56.26,14925.0,,nan,nan,0.5415383309991739,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/chi-rni-ddr4-memory-sweep/runs/linear-read-gem5-8GiBps
linear-read-gem5-12GiBps,True,gem5,linear-read,12GiB/s,12884901888.0,12.884901888,8801572777.410229,8.801572777410229,8801572777.410229,0.0,122617.0261627907,122617.026163,nan,176128.0,0.0,2752.0,0.0,2769.0,2737.0,19510752.0,2768.0,0.046062,0.023031,2753.0,0.068584,20010969.0,0.08,258710119.0,69538.28,87762.28,59.27,14925.0,,nan,nan,0.5394192030016711,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/chi-rni-ddr4-memory-sweep/runs/linear-read-gem5-12GiBps
linear-read-gem5-16GiBps,True,gem5,linear-read,16GiB/s,17179869184.0,17.179869184,8801572777.410229,8.801572777410229,8801572777.410229,0.0,122906.49781976744,122906.49782,nan,176128.0,0.0,2752.0,0.0,2769.0,2753.0,19947644.0,2768.0,0.046062,0.023031,2753.0,0.068584,20010969.0,0.07,266827151.0,69669.15,87893.15,59.27,14925.0,,nan,nan,0.5304246559990133,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/chi-rni-ddr4-memory-sweep/runs/linear-read-gem5-16GiBps
linear-read-gem5-20GiBps,True,gem5,linear-read,20GiB/s,21474836480.0,21.47483648,8801572777.410229,8.801572777410229,8801572777.410229,0.0,122947.9167877907,122947.916788,nan,176128.0,0.0,2752.0,0.0,2769.0,2753.0,19960309.0,2768.0,0.046062,0.023031,2753.0,0.068584,20010969.0,0.08,258733534.0,69705.87,87929.87,59.27,14925.0,,nan,nan,0.5367598249995353,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/chi-rni-ddr4-memory-sweep/runs/linear-read-gem5-20GiBps
linear-read-gem5-24GiBps,True,gem5,linear-read,24GiB/s,25769803776.0,25.769803776,8801572777.410229,8.801572777410229,8801572777.410229,0.0,122975.49236918605,122975.492369,nan,176128.0,0.0,2752.0,0.0,2769.0,2753.0,19968741.0,2768.0,0.046062,0.023031,2753.0,0.068584,20010969.0,0.08,261981972.0,69730.19,87954.19,59.27,14925.0,,nan,nan,0.5330831459996261,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/chi-rni-ddr4-memory-sweep/runs/linear-read-gem5-24GiBps
linear-read-gem5-28GiBps,True,gem5,linear-read,28GiB/s,30064771072.0,30.064771072,8801572777.410229,8.801572777410229,8801572777.410229,0.0,122995.22892441861,122995.228924,nan,176128.0,0.0,2752.0,0.0,2769.0,2753.0,19974776.0,2768.0,0.046062,0.023031,2753.0,0.068584,20010969.0,0.08,263725573.0,69747.64,87971.64,59.27,14925.0,,nan,nan,0.5347576569984085,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/chi-rni-ddr4-memory-sweep/runs/linear-read-gem5-28GiBps
linear-read-gem5-32GiBps,True,gem5,linear-read,32GiB/s,34359738368.0,34.359738368,8801572777.410229,8.801572777410229,8801572777.410229,0.0,123010.01744186046,123010.017442,nan,176128.0,0.0,2752.0,0.0,2769.0,2753.0,19979298.0,2768.0,0.046062,0.023031,2753.0,0.068584,20010969.0,0.08,241617090.0,69760.77,87984.77,59.27,14925.0,,nan,nan,0.5553011629999673,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/chi-rni-ddr4-memory-sweep/runs/linear-read-gem5-32GiBps
