backend,traffic_pattern,traffic_mode,read_percent,rate,offered_GBps,achieved_GBps,stream_GBps,probe_GBps,avg_latency_ns,read_avg_latency_ns,write_avg_latency_ns,write_completion_latency_ns,probe_avg_latency_ns,completed_requests,stream_completed_requests,probe_completed_requests,retry_ticks,stream_retry_ticks,probe_retry_ticks,ramulator_total_GBps,ramulator_avg_read_latency_ns,ramulator_row_hit_rate,sim_seconds,host_seconds,wall_seconds,success,exit_cause,run_dir
gem5,linear-read,standard,100,1GiB/s,1.073741824,1.070933333333333,1.070933333333333,0.0,67.2349282868526,67.2349282868526,,,,502.0,502.0,0.0,0.0,0.0,0.0,,,,3e-05,0.0,0.20539826200183597,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-gem5-1GiBps
gem5,linear-read,standard,100,4GiB/s,4.294967296,4.288,4.288,0.0,58.687805970149256,58.687805970149256,,,,2010.0,2010.0,0.0,0.0,0.0,0.0,,,,3e-05,0.0,0.20862874600061332,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-gem5-4GiBps
gem5,linear-read,standard,100,8GiB/s,8.589934592,8.576,8.576,0.0,60.32173880597015,60.32173880597015,,,,4020.0,4020.0,0.0,0.0,0.0,0.0,,,,3e-05,0.01,0.20747876500172424,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-gem5-8GiBps
gem5,linear-read,standard,100,16GiB/s,17.179869184,16.746666666666666,16.746666666666666,0.0,60.59131974522293,60.59131974522293,,,,7850.0,7850.0,0.0,767405.0,767405.0,0.0,,,,3e-05,0.01,0.2087048909997975,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-gem5-16GiBps
gem5,linear-read,standard,100,24GiB/s,25.769803776,24.616533333333333,24.616533333333333,0.0,59.3021187277927,59.3021187277927,,,,11539.0,11539.0,0.0,1419684.0,1419684.0,0.0,,,,3e-05,0.01,0.21150001299974974,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-gem5-24GiBps
gem5,linear-read,standard,100,32GiB/s,34.359738368,32.34773333333333,32.34773333333333,0.0,68.70948987667349,68.70948987667349,,,,15163.0,15163.0,0.0,1981738.0,1981738.0,0.0,,,,3e-05,0.02,0.2118763390026288,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-gem5-32GiBps
gem5,linear-read,standard,100,40GiB/s,42.94967296,35.28757449322409,35.28757449322409,0.0,141.54281299542973,141.54281299542973,,,,16542.0,16542.0,0.0,29655070.0,29655070.0,0.0,,,,3e-05,0.02,0.22123147399906884,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-gem5-40GiBps
gem5,linear-read,standard,100,48GiB/s,51.539607552,35.296888529731184,35.296888529731184,0.0,141.6729070291409,141.6729070291409,,,,16546.0,16546.0,0.0,29859572.0,29859572.0,0.0,,,,3e-05,0.02,0.21377493199906894,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-gem5-48GiBps
gem5,linear-write,standard,0,1GiB/s,1.073741824,1.073066666666667,1.073066666666667,0.0,14.803294234592446,,14.803294234592446,975.6055566600398,,503.0,503.0,0.0,0.0,0.0,0.0,,,,3e-05,0.0,0.20104891899973154,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-write-gem5-1GiBps
gem5,linear-write,standard,0,4GiB/s,4.294967296,4.292266666666667,4.292266666666667,0.0,14.802161033797216,,14.802161033797216,299.46129955290615,,2012.0,2012.0,0.0,0.0,0.0,0.0,,,,3e-05,0.01,0.21109932999752345,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-write-gem5-4GiBps
