MBBENCH,N,matured_pct,ready,ns_per_select,ns_per_pop,selector_bytes
MBBENCH,1,30,0,3.819,0.000,16
MBBENCH,1,70,0,3.160,0.000,16
MBBENCH,1,100,1,3.773,28.019,16
MBBENCH,2,30,0,3.141,0.000,32
MBBENCH,2,70,1,4.422,30.343,32
MBBENCH,2,100,2,5.685,23.754,32
MBBENCH,4,30,1,4.601,31.317,64
MBBENCH,4,70,2,6.079,25.010,64
MBBENCH,4,100,4,9.815,21.973,64
MBBENCH,8,30,2,7.905,28.161,128
MBBENCH,8,70,5,12.828,24.658,128
MBBENCH,8,100,8,18.599,24.856,128
MBBENCH,16,30,4,12.610,27.991,256
MBBENCH,16,70,11,27.378,31.518,256
MBBENCH,16,100,16,33.400,33.806,256
MBBENCH,32,30,9,25.183,35.141,512
MBBENCH,32,70,22,48.034,46.074,512
MBBENCH,32,100,32,68.310,54.282,512
MBBENCH,64,30,19,46.194,50.225,1024
MBBENCH,64,70,44,93.710,78.108,1024
MBBENCH,64,100,64,134.222,92.820,1024
MBBENCH,128,30,38,91.939,79.022,2048
MBBENCH,128,70,89,184.353,137.795,2048
MBBENCH,128,100,128,260.542,165.962,2048
MBBENCH,256,30,76,170.030,137.292,4096
MBBENCH,256,70,179,363.035,247.038,4096
MBBENCH,256,100,256,486.630,296.914,4096
MBBENCH,512,30,153,347.987,249.152,8192
MBBENCH,512,70,358,731.314,498.163,8192
MBBENCH,512,100,512,996.136,551.875,8192
MBBENCH,1024,30,307,702.802,483.921,16384
MBBENCH,1024,70,716,1561.480,963.388,16384
MBBENCH,1024,100,1024,2173.590,1103.264,16384
