MBBENCH,N,matured_pct,ready,ns_per_select,ns_per_pop,selector_bytes
MBBENCH,1,30,0,2.786,0.000,16
MBBENCH,1,70,0,2.447,0.000,16
MBBENCH,1,100,1,2.819,26.416,16
MBBENCH,2,30,0,2.745,0.000,32
MBBENCH,2,70,1,3.208,27.883,32
MBBENCH,2,100,2,4.383,21.424,32
MBBENCH,4,30,1,4.465,29.437,64
MBBENCH,4,70,2,6.078,22.912,64
MBBENCH,4,100,4,7.616,19.695,64
MBBENCH,8,30,2,7.594,26.307,128
MBBENCH,8,70,5,11.245,23.202,128
MBBENCH,8,100,8,13.054,21.573,128
MBBENCH,16,30,4,14.064,29.230,256
MBBENCH,16,70,11,21.117,29.031,256
MBBENCH,16,100,16,23.945,28.605,256
MBBENCH,32,30,9,33.163,38.829,512
MBBENCH,32,70,22,41.359,41.242,512
MBBENCH,32,100,32,54.179,46.255,512
MBBENCH,64,30,19,53.983,60.876,1024
MBBENCH,64,70,44,81.762,72.639,1024
MBBENCH,64,100,64,95.742,75.981,1024
MBBENCH,128,30,38,100.868,96.983,2048
MBBENCH,128,70,89,166.769,129.634,2048
MBBENCH,128,100,128,182.086,124.967,2048
MBBENCH,256,30,76,209.035,180.392,4096
MBBENCH,256,70,179,340.856,229.759,4096
MBBENCH,256,100,256,356.007,217.180,4096
MBBENCH,512,30,153,401.656,321.000,8192
MBBENCH,512,70,358,651.445,431.434,8192
MBBENCH,512,100,512,711.018,394.726,8192
MBBENCH,1024,30,307,856.289,708.294,16384
MBBENCH,1024,70,716,1322.261,834.689,16384
MBBENCH,1024,100,1024,1430.115,755.915,16384
