MBBENCH,N,matured_pct,ready,ns_per_select,ns_per_pop,selector_bytes
MBBENCH,1,30,0,3.718,0.000,16
MBBENCH,1,70,0,3.015,0.000,16
MBBENCH,1,100,1,3.464,30.216,24
MBBENCH,2,30,0,2.951,0.000,32
MBBENCH,2,70,1,3.509,33.807,40
MBBENCH,2,100,2,4.986,25.957,48
MBBENCH,4,30,1,3.505,35.081,72
MBBENCH,4,70,2,5.012,28.138,80
MBBENCH,4,100,4,8.611,24.944,96
MBBENCH,8,30,2,5.000,31.404,144
MBBENCH,8,70,5,9.589,28.387,192
MBBENCH,8,100,8,13.725,28.513,192
MBBENCH,16,30,4,8.270,31.765,288
MBBENCH,16,70,11,17.869,37.356,384
MBBENCH,16,100,16,24.588,38.911,384
MBBENCH,32,30,9,15.371,40.404,640
MBBENCH,32,70,22,32.679,59.265,768
MBBENCH,32,100,32,57.334,73.504,768
MBBENCH,64,30,19,29.079,64.600,1280
MBBENCH,64,70,44,68.929,109.139,1536
MBBENCH,64,100,64,97.779,127.563,1536
MBBENCH,128,30,38,63.703,107.235,2560
MBBENCH,128,70,89,131.578,203.921,3072
MBBENCH,128,100,128,187.245,246.895,3072
MBBENCH,256,30,76,113.501,198.946,5120
MBBENCH,256,70,179,255.514,361.722,6144
MBBENCH,256,100,256,359.544,427.528,6144
MBBENCH,512,30,153,218.494,352.034,10240
MBBENCH,512,70,358,498.606,677.169,12288
MBBENCH,512,100,512,717.450,805.586,12288
MBBENCH,1024,30,307,426.639,678.924,20480
MBBENCH,1024,70,716,991.792,1411.043,24576
MBBENCH,1024,100,1024,1424.451,1663.922,24576
